,claim_id,customer_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent
214,94714143,32269248,Other driver error,07/07/2018,Auto,Yes,Injury only,$30350,1.0,No
215,22295924,35410919,Crime,06/04/2017,Auto,No,Material only,$1740,3.0,No
216,80976947,20716946,Other driver error,03/21/2018,Auto,No,Material and injury,$21830,1.0,No
217,93075008,90102508,Natural causes,03/28/2018,Auto,No,Material only,$1280,1.0,No
218,46968995,40744509,Other causes,06/25/2017,Auto,No,Material and injury,$34770,4.0,No
219,23840141,51460517,Other causes,06/18/2017,Auto,Unknown,Material only,$1391.5,1.0,Yes
220,5694962,9677945,Other causes,09/26/2018,Auto,No,Material only,$1520,1.0,No
221,3485777,34297743,Natural causes,07/28/2017,Auto,No,Material only,$1700,1.0,No
222,49735712,17682060,Crime,10/30/2018,Home,Unknown,Material and injury,$17020,1.0,No
223,718760,29750601,Other driver error,10/24/2017,Auto,Unknown,Injury only,$31980,1.0,No
224,81849361,97698815,Natural causes,02/17/2017,Auto,Unknown,Material only,$1860,1.0,No
225,19639145,28920170,Crime,11/13/2017,Auto,No,Material and injury,$41365.5,1.0,Yes
226,6535473,55572419,Other causes,05/09/2017,Auto,Yes,Injury only,$27520,1.0,No
227,61374372,77219712,Other causes,01/01/2017,Auto,No,Material and injury,$20200,1.0,No
228,24759210,39286853,Other driver error,10/03/2018,Auto,Unknown,Injury only,$35830,1.0,No
229,6795457,47226965,Driver error,09/07/2017,Auto,No,Material only,$2600,4.0,No
230,27087847,68757979,Natural causes,10/31/2017,Auto,No,Material only,$2410,1.0,No
231,93818470,69956308,Natural causes,01/13/2018,Auto,Yes,Material only,$3312,4.0,Yes
232,65784642,47603757,Driver error,04/24/2018,Auto,No,Material only,$2980,1.0,No
233,98203403,83534717,Natural causes,04/12/2017,Auto,No,Material only,$1680,1.0,No
234,52377605,40480522,Driver error,10/30/2018,Auto,Unknown,Material and injury,$26310,1.0,No
235,79350008,86597605,Driver error,09/27/2017,Auto,No,Material and injury,$37400,1.0,No
236,35620656,7829022,Driver error,11/13/2017,Auto,No,Material only,$2320,1.0,No
237,95022138,77985379,Other driver error,07/01/2017,Auto,Yes,Material and injury,$27610,2.0,No
238,24834777,2826434,Driver error,04/25/2017,Home,No,Injury only,$22100,1.0,No
239,94426134,16548727,Other causes,11/06/2017,Auto,Yes,Material only,$1080,3.0,No
240,67394855,94267140,Other driver error,04/12/2017,Auto,No,Material only,$1590,1.0,No
241,15859475,5637733,Crime,10/10/2017,Auto,Unknown,Material only,$2170,1.0,No
242,7238381,684748,Other driver error,07/14/2018,Auto,No,Material only,$2920,2.0,No
243,27131115,65047878,Natural causes,02/03/2017,Auto,Unknown,Material only,$1679,4.0,Yes
244,63175077,84614509,Driver error,06/23/2018,Home,Unknown,Injury only,$18308,1.0,Yes
245,4869668,93766634,Other causes,06/23/2018,Auto,No,Injury only,$16940,1.0,No
246,29078722,68712439,Other driver error,06/17/2018,Home,No,Material only,$1600,1.0,No
247,62679663,88785895,Driver error,02/22/2018,Auto,Unknown,Material and injury,$39307,1.0,Yes
248,29981557,33924586,Natural causes,04/04/2018,Auto,Unknown,Material and injury,$28750,1.0,No
249,59259291,1852176,Driver error,04/17/2018,Auto,Unknown,Material only,$1510,1.0,No
250,35839635,58107776,Other driver error,04/25/2017,Auto,Yes,Material only,$1030,1.0,No
251,46356995,30743608,Other causes,03/22/2017,Auto,No,Material only,$2714,1.0,Yes
252,44524224,50530333,Crime,06/04/2017,Auto,Unknown,Material only,$2415,3.0,Yes
253,56720636,29282358,Other driver error,01/13/2018,Auto,No,Material and injury,$39280,2.0,No
254,5854580,55375167,Crime,04/05/2017,Home,Unknown,Material only,$1403,3.0,Yes
255,24230132,37692329,Driver error,08/16/2018,Auto,No,Material and injury,$34300,1.0,No
256,13479108,2753882,Natural causes,07/01/2017,Auto,No,Material only,$2650,1.0,No
257,63532473,88219691,Other causes,09/14/2017,Auto,No,Injury only,$23960,1.0,No
258,25246596,67722830,Driver error,08/04/2017,Auto,No,Material only,$1529.5,3.0,Yes
259,31574986,11321295,Driver error,02/03/2017,Auto,No,Material only,$2460,2.0,No
260,6267263,28502965,Natural causes,10/10/2017,Auto,No,Material only,$1620,1.0,No
261,99444302,51782731,Other driver error,02/03/2017,Home,Unknown,Material only,$2790,1.0,No
262,75651365,76395629,Other causes,01/27/2017,Auto,No,Material only,$1210,1.0,No
263,18499217,20960664,Natural causes,08/10/2018,Auto,Yes,Injury only,$19676.5,1.0,Yes
264,56848907,79683883,Other driver error,09/07/2017,Auto,No,Material and injury,$27266.5,1.0,Yes
265,30755644,33388786,Other causes,04/18/2017,Auto,Yes,Injury only,$33590,2.0,No
266,2741337,52361935,Natural causes,10/17/2017,Auto,Yes,Material only,$2840,1.0,No
267,86070727,97038550,Other driver error,02/22/2018,Home,Unknown,Material and injury,$16790,1.0,No
268,2913034,25911554,Natural causes,06/03/2018,Auto,No,Material only,$1322.5,3.0,Yes
269,74906328,43834942,Natural causes,07/01/2017,Auto,Yes,Material and injury,$19900,1.0,No
270,95114913,17242900,Crime,11/13/2017,Auto,No,Material only,$2440,1.0,No
271,34621474,54094880,Other driver error,02/17/2017,Auto,No,Material only,$1529.5,1.0,Yes
272,52223434,59809467,Other driver error,05/28/2018,Auto,Unknown,Material only,,,Yes
273,93028492,62204138,Driver error,10/31/2017,Auto,Unknown,Material only,$2691,1.0,Yes
274,76384782,93993324,Driver error,06/04/2017,Auto,No,Material only,$3128,1.0,Yes
275,79219792,84995304,Other driver error,08/30/2018,Home,Unknown,Material only,$3036,1.0,Yes
276,25014071,70955654,Crime,10/04/2017,Home,No,Material only,$1173,1.0,Yes
277,86017636,43274276,Other driver error,02/15/2018,Auto,No,Material only,$1200,4.0,No
278,45535504,23236713,Driver error,03/14/2018,Auto,Yes,Injury only,$29960,1.0,No
279,80169462,76501371,Driver error,02/15/2018,Auto,Unknown,Material only,$1970,1.0,No
280,42474249,56554262,Other causes,10/09/2018,Auto,No,Material only,$2090,1.0,No
281,4567648,48123202,Other driver error,08/31/2017,Auto,No,Material only,$2640,,No
282,99775483,93915431,Other causes,10/30/2018,Auto,No,Material and injury,$42124.5,1.0,Yes
283,8322480,38560100,Other driver error,03/16/2017,Auto,No,Injury only,$21330,3.0,No
284,83960449,31544049,Driver error,11/27/2017,Auto,Unknown,Material only,$1817,1.0,Yes
285,66563034,68615086,Driver error,07/07/2018,Auto,No,Material and injury,$17670,1.0,No
286,95437929,55535045,Driver error,04/05/2017,Auto,No,Material only,$1110,1.0,No
287,94981713,17988592,Other causes,07/28/2017,Auto,No,Material and injury,$32407,1.0,Yes
288,59593960,4883962,Driver error,07/15/2017,Auto,Yes,Material only,$1460,1.0,No
289,4367748,33812279,Other causes,05/22/2017,Auto,Yes,Injury only,$41779.5,1.0,Yes
290,96241162,81854173,Other driver error,05/09/2017,Auto,Unknown,Material only,$1850,1.0,No
291,11682102,24579061,Natural causes,01/07/2017,Auto,No,Material only,$1770,1.0,No
292,26104084,29478976,Crime,05/21/2018,Auto,No,Material only,$1160,1.0,No
293,38641457,10462042,Other causes,08/03/2018,Home,No,Material only,$2410,1.0,No
294,51316495,52265112,Other driver error,06/11/2017,Auto,No,Material only,$1520,2.0,No
295,68533229,53900680,Other causes,03/29/2017,Home,Yes,Material and injury,$33900,2.0,No
296,70210720,69784779,Other driver error,05/21/2018,Auto,Yes,Material and injury,$28740,1.0,No
297,38508652,26810768,Other causes,07/01/2017,Auto,No,Material and injury,$23980,3.0,No
298,10080081,82637319,Other causes,10/31/2017,Auto,Unknown,Material only,$1184.5,1.0,Yes
299,6515806,69546065,Crime,06/18/2017,Auto,Unknown,Material only,$2104.5,1.0,Yes
300,2056210,67427492,Driver error,05/29/2017,Auto,No,Material only,$1040,1.0,No
301,2581621,18213216,Other causes,09/12/2018,Auto,Unknown,Material and injury,$21942,2.0,Yes
302,25688619,98204394,Driver error,02/10/2017,Home,Unknown,Material only,$1550,6.0,No
303,43680480,63413368,Driver error,06/30/2018,Auto,No,Material only,$1740,2.0,No
304,14698666,91136854,Other driver error,01/06/2018,Auto,No,Material only,$2240,4.0,No
305,18917146,11187680,Other driver error,03/29/2017,Auto,Unknown,Material only,$2440,1.0,No
306,82224237,88205075,Other causes,03/16/2017,Auto,Unknown,Injury only,$16460,1.0,No
307,52339239,40728123,Other causes,02/10/2017,Auto,No,Material only,$2590,1.0,No
308,9476314,65176092,Other causes,01/01/2017,Auto,No,Material and injury,$37290,3.0,No
309,56133273,84229777,Natural causes,08/11/2017,Auto,No,Material only,$3128,1.0,Yes
310,79752814,76093960,Other causes,05/29/2017,Auto,Unknown,Material only,$2700,2.0,No
311,71517851,36994344,Natural causes,07/27/2018,Auto,No,Material only,$2280,1.0,No
